time,tmax,tmin,date
0001-08-05 00:00:00,27.58489,17.376621,08-05
0001-08-06 00:00:00,27.466377,17.274345,08-06
0001-08-07 00:00:00,28.599724,17.383966,08-07
0001-08-08 00:00:00,28.774168,17.708818,08-08
0001-08-09 00:00:00,29.641798,17.775518,08-09
0001-08-10 00:00:00,29.268627,18.095829,08-10
0001-08-11 00:00:00,28.067308,17.445734,08-11
0001-08-12 00:00:00,28.201372,17.072258,08-12
0001-08-13 00:00:00,27.234137,16.803736,08-13
0001-08-14 00:00:00,27.424973,16.209,08-14
0001-08-15 00:00:00,27.841814,16.68954,08-15
0001-08-16 00:00:00,28.083412,16.711855,08-16
0001-08-17 00:00:00,27.860094,16.734222,08-17
0001-08-18 00:00:00,27.792366,16.916542,08-18
0001-08-19 00:00:00,27.432915,16.498808,08-19
0001-08-20 00:00:00,27.29413,16.11877,08-20
0001-08-21 00:00:00,27.795214,16.668732,08-21
0001-08-22 00:00:00,28.059544,16.502098,08-22
0001-08-23 00:00:00,28.694408,17.018467,08-23
0001-08-24 00:00:00,29.08322,17.422215,08-24
0001-08-25 00:00:00,28.911089,17.406553,08-25
0001-08-26 00:00:00,28.562323,17.448442,08-26
0001-08-27 00:00:00,28.461382,17.8687,08-27
0001-08-28 00:00:00,27.866127,17.227573,08-28
0001-08-29 00:00:00,28.817207,16.915522,08-29
0001-08-30 00:00:00,27.689156,16.021698,08-30
0001-08-31 00:00:00,27.28377,15.683344,08-31
0001-09-01 00:00:00,27.421623,15.121071,09-01
0001-09-02 00:00:00,27.461721,16.027308,09-02
0001-09-03 00:00:00,28.107496,15.394623,09-03
0001-09-04 00:00:00,27.261349,14.721029,09-04
0001-09-05 00:00:00,27.268227,14.518771,09-05
0001-09-06 00:00:00,27.596615,15.171785,09-06
0001-09-07 00:00:00,26.87924,14.565414,09-07
0001-09-08 00:00:00,25.749725,13.946093,09-08
0001-09-09 00:00:00,25.373901,13.902964,09-09
0001-09-10 00:00:00,25.124958,13.208501,09-10
0001-09-11 00:00:00,25.676987,12.920919,09-11
0001-09-12 00:00:00,26.34871,13.373192,09-12
0001-09-13 00:00:00,24.92795,12.690675,09-13
0001-09-14 00:00:00,24.286787,12.631731,09-14
0001-09-15 00:00:00,24.44313,12.224815,09-15
0001-09-16 00:00:00,24.459957,12.030119,09-16
0001-09-17 00:00:00,25.26585,12.373695,09-17
0001-09-18 00:00:00,24.222935,12.357387,09-18
0001-09-19 00:00:00,23.545532,11.838278,09-19
0001-09-20 00:00:00,24.473969,11.354039,09-20
0001-09-21 00:00:00,22.499193,10.891278,09-21
0001-09-22 00:00:00,22.620815,10.55553,09-22
0001-09-23 00:00:00,22.64966,10.026442,09-23
0001-09-24 00:00:00,22.260448,11.006432,09-24
0001-09-25 00:00:00,22.972,10.22998,09-25
0001-09-26 00:00:00,22.384684,9.875275,09-26
0001-09-27 00:00:00,22.858162,10.043384,09-27
0001-09-28 00:00:00,22.30815,8.704887,09-28
0001-09-29 00:00:00,21.895422,8.787415,09-29
0001-09-30 00:00:00,23.268448,8.956112,09-30
0001-10-01 00:00:00,22.967558,9.575787,10-01
0001-10-02 00:00:00,21.412853,9.570716,10-02
0001-10-03 00:00:00,20.843267,8.567314,10-03
0001-10-04 00:00:00,20.457403,7.5260124,10-04
0001-10-05 00:00:00,20.291025,7.824648,10-05
0001-10-06 00:00:00,20.033491,7.9726396,10-06
0001-10-07 00:00:00,21.523233,8.229942,10-07
0001-10-08 00:00:00,20.883116,8.134487,10-08
0001-10-09 00:00:00,19.880562,6.787091,10-09
0001-10-10 00:00:00,19.139444,5.743651,10-10
0001-10-11 00:00:00,18.98009,6.053988,10-11
0001-10-12 00:00:00,19.148394,6.273556,10-12
0001-10-13 00:00:00,17.546316,5.729496,10-13
0001-10-14 00:00:00,18.22119,5.57941,10-14
0001-10-15 00:00:00,17.49612,5.911542,10-15
0001-10-16 00:00:00,16.6217,5.6411386,10-16
0001-10-17 00:00:00,17.338858,5.5206923,10-17
0001-10-18 00:00:00,17.397846,4.773567,10-18
0001-10-19 00:00:00,16.424723,4.5319724,10-19
0001-10-20 00:00:00,16.974823,4.3909693,10-20
0001-10-21 00:00:00,17.142488,4.7758913,10-21
0001-10-22 00:00:00,16.276987,4.2243495,10-22
0001-10-23 00:00:00,16.430294,5.6965427,10-23
0001-10-24 00:00:00,15.184531,4.1878395,10-24
0001-10-25 00:00:00,16.116142,3.5181534,10-25
0001-10-26 00:00:00,14.37642,3.4613438,10-26
0001-10-27 00:00:00,13.727853,3.5558982,10-27
0001-10-28 00:00:00,13.070315,2.598822,10-28
0001-10-29 00:00:00,14.858157,2.4193325,10-29
0001-10-30 00:00:00,14.122569,3.8386796,10-30
0001-10-31 00:00:00,11.521529,1.0873563,10-31
0001-11-01 00:00:00,13.211575,1.3127916,11-01
0001-11-02 00:00:00,12.212897,1.5212485,11-02
0001-11-03 00:00:00,11.819111,0.7448359,11-03
0001-11-04 00:00:00,12.234288,1.1232902,11-04
0001-11-05 00:00:00,11.572647,1.5122372,11-05
0001-11-06 00:00:00,11.418156,1.0015486,11-06
0001-11-07 00:00:00,12.519888,0.23842682,11-07
0001-11-08 00:00:00,11.39151,0.19649257,11-08
0001-11-09 00:00:00,12.377297,0.3820118,11-09
0001-11-10 00:00:00,10.711179,-0.9763626,11-10
0001-11-11 00:00:00,9.349543,-1.0592325,11-11
0001-11-12 00:00:00,9.0010805,-1.9932865,11-12
0001-11-13 00:00:00,9.30953,-1.4789689,11-13
0001-11-14 00:00:00,8.891559,-0.83705723,11-14
0001-11-15 00:00:00,9.013742,-1.4454998,11-15
0001-11-16 00:00:00,8.851864,-1.0063972,11-16
0001-11-17 00:00:00,10.244977,-0.37221974,11-17
0001-11-18 00:00:00,9.752624,-0.45311832,11-18
0001-11-19 00:00:00,9.710173,-1.4424386,11-19
0001-11-20 00:00:00,9.732847,-1.1879728,11-20
0001-11-21 00:00:00,7.9662347,-2.6134653,11-21
0001-11-22 00:00:00,7.0911245,-2.5156882,11-22
0001-11-23 00:00:00,7.529015,-1.7892456,11-23
0001-11-24 00:00:00,7.3171406,-2.9898636,11-24
0001-11-25 00:00:00,6.3391504,-3.0423346,11-25
0001-11-26 00:00:00,6.346061,-3.1428397,11-26
0001-11-27 00:00:00,5.56053,-4.2453113,11-27
0001-11-28 00:00:00,5.898566,-4.274655,11-28
0001-11-29 00:00:00,6.917349,-3.849486,11-29
0001-11-30 00:00:00,6.015088,-4.0953474,11-30
0001-12-01 00:00:00,5.5271735,-4.0157576,12-01
0001-12-02 00:00:00,5.8264713,-3.7760186,12-02
0001-12-03 00:00:00,5.4434495,-3.676239,12-03
0001-12-04 00:00:00,4.8313985,-4.6837916,12-04
0001-12-05 00:00:00,4.348373,-5.8786755,12-05
0001-12-06 00:00:00,1.8694153,-7.4422235,12-06
0001-12-07 00:00:00,2.1172795,-6.4951425,12-07
0001-12-08 00:00:00,2.810629,-6.372581,12-08
0001-12-09 00:00:00,2.5426974,-7.972417,12-09
0001-12-10 00:00:00,3.3262572,-7.7312903,12-10
0001-12-11 00:00:00,3.245362,-6.6686153,12-11
0001-12-12 00:00:00,3.1395366,-5.9177036,12-12
0001-12-13 00:00:00,3.73391,-5.2989244,12-13
0001-12-14 00:00:00,3.3997908,-4.925398,12-14
0001-12-15 00:00:00,3.1939874,-6.1647935,12-15
0001-12-16 00:00:00,2.5035906,-6.982989,12-16
0001-12-17 00:00:00,2.1001823,-6.8591948,12-17
0001-12-18 00:00:00,1.7481228,-7.1984925,12-18
0001-12-19 00:00:00,1.9888468,-7.395645,12-19
0001-12-20 00:00:00,1.0344539,-7.005629,12-20
0001-12-21 00:00:00,2.2376602,-7.3855386,12-21
0001-12-22 00:00:00,0.99971825,-6.966359,12-22
0001-12-23 00:00:00,0.46198475,-8.078131,12-23
0001-12-24 00:00:00,0.308735,-8.959328,12-24
0001-12-25 00:00:00,0.008340413,-9.377305,12-25
0001-12-26 00:00:00,0.54126793,-8.7143755,12-26
0001-12-27 00:00:00,1.466032,-7.8097124,12-27
0001-12-28 00:00:00,2.7196593,-7.522364,12-28
0001-12-29 00:00:00,1.6877348,-7.4330635,12-29
0001-12-30 00:00:00,0.6580603,-7.60523,12-30
0001-12-31 00:00:00,1.0576745,-9.62839,12-31
